Mixture	B.cells.naive	B.cells.memory	Plasma.cells	T.cells.CD8	T.cells.CD4.naive	T.cells.CD4.memory.resting	T.cells.CD4.memory.activated	T.cells.follicular.helper	T.cells.regulatory..Tregs.	T.cells.gamma.delta	NK.cells.resting	NK.cells.activated	Monocytes	Macrophages.M0	Macrophages.M1	Macrophages.M2	Dendritic.cells.resting	Dendritic.cells.activated	Mast.cells.resting	Mast.cells.activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA_BH_A0E0	0.0244754962979656	0	0.00884069937120548	0.0464368744546645	0	0.121981175399043	0.000514391713927323	0.106966688722468	0.097883193114421	0	0	0.00804230633921854	0.0105387427650943	0.018256519125348	0	0.0767953890302424	0.354013333759645	0.0986963949751952	0.0265587949315608	0	0	0	9999	0.189556633902705	1.01015022227246
TCGA_A2_A0YE	0.0162729866077625	0	0.157903915296069	0.0148837520992856	0	0.142319159195256	0	0.119470898013951	0.00800038241864116	0	0	0.0470670202768834	0	0.170760780264584	0.129602039983571	0.10829951408906	0.00496002297419128	0.0177733568852977	0.0626861718954471	0	0	0	9999	0.128872476447044	1.03190569910882
TCGA_BH_A18G	0	0	0	0.107875317819869	0	0.247258381029775	0.028464059656471	0	0.00201173614261475	0	0.0791444777176395	0.0122508656091481	0.133007782721609	0	0.0663801869195897	0.2242996949056	0	0.0773613789816082	0.0219461184960756	0	0	0	9999	0.0561556658804098	1.0678410364953
TCGA_A1_A0SP	0.0301328043997778	0	0.0861567178647529	0.0610095240897529	0	0.144292732460388	0.00609998888747335	0.0287882041540035	0.00716134214485547	0	0	0	0	0.301703941021679	0.0675583151559283	0.125266393474486	0.111149730967617	0.0175848797325427	0	0.0106075319377727	0.000901007311042189	0.00158688639792764	9999	0.428385774420814	0.904807959728312
TCGA_A2_A0SX	0.0271080289126525	0	0.101276243131859	0.0316702415520719	0	0.212046683035766	0.0142207148965363	0.086560525477209	0.0202568293419018	0.0601917536360581	0	0	0	0.237686485562098	0.101938574194764	0.0950672305637544	0.00523841432991928	0	0.00673827536541075	0	0	0	9999	0.680821237102933	0.772740507823299
TCGA_OL_A6VO	0	0.0723811418815803	0	0.029334868605432	0	0	0.00343754859610344	0.0678514248827392	0.0317491186698638	0.00437706461551689	0.0145386203015221	0	0	0.572937975403878	0.0593826523030354	0.111172905045776	0	0	0	0.0328366796945523	0	0	9999	0.13473806438313	1.13131280562033
TCGA_A7_A6VW	0.0147419133936846	0	0.0825444137988726	0.0151596801756614	0	0.099343721864168	0	0.0899661546149366	0.0178707180425411	0	0.0197839491271314	0.0198960395900975	0.0533695373137184	0.259959576728635	0.0756052028120036	0.119577816907342	0	0.10304287603674	0	0	0	0.0291383995944685	9999	0.313615178702905	0.962158260380901
TCGA_AR_A2LR	0.0375800139340345	0	0	0.0900785535438143	0	0.0964268231697685	0	0.0842788564582427	0	0	0	0.0432697540897596	0.0139308797284425	0.116424529797885	0.0584874325253684	0.354517242710677	0	0.00790236521986797	0.09710354882214	0	0	0	9999	0.178440211313126	1.02017910165893
TCGA_S3_AA15	0.103437636330015	0	0.3229852798885	0.0958552161828246	0	0.0826503394735088	0.0303636203605145	0.0370304829208914	0.012608474936699	0	0	0.0105188246660364	0.00929811761621614	0.108908810209176	0.0413603253686746	0.0845409216107588	0.00958578406508973	0	0.0508561663710945	0	0	0	9999	0.523323037776262	0.87316796520455
TCGA_AC_A6IW	0	0.0310947749298064	0	0.0384357815783692	0	0.137459129493749	0.0173823403476336	0.118243206820166	0.014463162197874	0.0336426781604058	0	0.000933074326585055	0	0.0323614931408151	0.156449373167008	0.16899581362432	0.233005823629763	0	0.0121698264723469	0	0.00536352211115729	0	9999	0.547129738603154	0.841050670676301
TCGA_LL_A73Y	0.0484556006326153	0	0.0183238806375582	0.0124968774186133	0	0.139190555733186	0.00966241880743817	0.09877531567904	0.0116735033999433	0	0.0187228874655541	0.00559792002195886	0	0.371939167225136	0.0187033740017525	0.105089063561433	0.0610402381404614	0.0369367082178707	0.0433924890574396	0	0	0	9999	0.67040843554201	0.759356561655312
TCGA_AO_A124	0.14704481682758	0	0.00208633110459212	0.0761811113901816	0	0.0399263020104467	0.0101025949391157	0.115047634552778	0.0509347740614603	0	0	0.0315667802832842	0.00818992653873007	0.329372806224562	0.0266994460218238	0.0558325377229904	0	0.0806087410556429	0	0.026406197266812	0	0	9999	0.17509357454943	1.02758475806692
TCGA_E9_A5FL	0.0205951468915108	0	0.00176037991054738	0.0505882473879875	0	0.0872847943585716	0	0.0647402299735472	0.0173429497489632	0	0.00644996794953143	0	0.0161305955542411	0.146320240213749	0.0246443321376158	0.465140115220151	0.041117885137628	0.0277025361373317	0	0.0301825793786241	0	0	9999	0.267863188575276	0.998436687515679
TCGA_D8_A1XQ	0	0	0.151200673925001	0.0630975960572775	0	0.123094339967618	0.0293013908307227	0.0251737734393233	0.00258836464371167	0	0	0.00553790083342043	0	0.28605597852301	0.105695443049727	0.196490022923228	0	0	0.00574506864156958	0	0	0.00601944716539088	9999	0.522930763977481	0.852319949217353
TCGA_D8_A13Z	0.017981074452993	0	0.00593626479433654	0.0392312104926709	0	0.0791564685688997	0.0316029153569452	0.0484795345429621	0.0361807693548255	0	0.00907869569087397	0	0	0.355807052479481	0.0709907803865477	0.216567682868367	0	0.0512006423606959	0.0377869086504009	0	0	0	9999	0.690000609171009	0.736241492480451
TCGA_D8_A1XK	0.039225151656935	0	0.0455136830113887	0.0670629296443714	0	0.110495682693088	0.0625619680757008	0.0288083081490733	0	0	0.0432469153134682	0	0	0.400915201540392	0.0677413051947036	0.101250350959658	0	0	0	0.0304424931395427	0	0.00273601062167845	9999	0.195091920548016	1.03689536481769
TCGA_AC_A2BK	0.0180645907244664	0	0.0930206451170877	0.230042647281406	0	0	0.0303789476741791	0.144375795867466	0	0	0	0.0487366387138459	0	0	0.111395372942568	0.206824259700933	0.0869850723976681	0.0162405948086924	0.0139354347716875	0	0	0	9999	0.038661699511459	1.06572875400046
TCGA_BH_A0RX	0.0208850596298447	0	0.0812095116282386	0.176140230143045	0	0.059612364606207	0.0337984934959055	0.0589543135578276	0.0341588372803934	0	0	0.0389931967273425	0.0167938470417636	0.162338575194191	0.158636436662292	0.0835222815266365	0.0352032829490184	0.00370794175189777	0.0360456278053959	0	0	0	9999	0.321307843623539	0.95498543169211
TCGA_E2_A1L7	0	0	0	0.135670638181037	0	0.187140282808745	0.00964700438228283	0.0733216494469497	0.00992627514025598	0.0702725076531902	0	0.0440184822113821	0	0.140380971976918	0.138571647540994	0.0835696226886063	0.0340965844330199	0	0.0733843335366191	0	0	0	9999	0.461083469952294	0.886488826911642
TCGA_D8_A27H	0.00940524547550118	0	0.0393508134969781	0.0538638116539673	0	0.174375481300299	0	0.0280569560071406	0.0391401241982007	0	0	0.00470421775278878	0.00556819868836526	0.310220851784301	0.11273071530622	0.164952783683376	0	0	0.0576308006528622	0	0	0	9999	0.177426973228844	1.03646500808652
TCGA_A2_A0T0	0.0394037941822511	0	0.00805064408008423	0.0494347759152138	0	0.212471210093627	0	0.0503542576586014	0.0382075783258083	0	0.00663487520514113	0.0234608029418686	0	0.28390551744897	0.116162872636893	0.144233846509712	0	0	0	0.0236063027197864	0	0.00407352228204279	9999	0.357542601705983	0.943382151824882
TCGA_C8_A27B	0.0145233306924655	0	0.0387089318577832	0.113409563415025	0	0.0379304732086827	0.06584405586638	0.0401509657858896	0.00215804655754705	0	0.0467726336322896	0	0	0.36148821652927	0.158812637663008	0.0961171224569756	0.00519669125133266	0.010942830484341	0.00501559952625145	0	0	0.00292890107275833	9999	0.540371125630261	0.840883991788352
TCGA_C8_A131	0.0195805082977443	0	0.0419622645745175	0.0739592276823817	0	0.0580144456989139	0.0238260702014655	0.0383403798297689	0.00369481315899463	0	0.0730294843765106	0	0	0.528229947580982	0.0256627866077068	0.110847504912571	0	0	0	0.00285256707844305	0	0	9999	0.181412220994545	1.08138724028949
TCGA_LL_A441	0.237786317712336	0.0242596488558818	0.0192360917708825	0.0517525600662507	0	0.150523174376312	0.0128338899463454	0.107503983104133	0.0613623236084921	0	0	0	0	0.196066067489193	0.0827980190411325	0.023203795180176	0.00348935309932179	0	0.0291847757495438	0	0	0	9999	0.583518522596013	0.830232864326713
